node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
POTCH,1,8,1.0,1,1,5.0,random,1.0,1.0,1.0,5.0
VDP-GREY2-TSN598-VUT-EMF,2,7,1.0000000000000002,1,1,4.0,random,1.0,1.0,1.0,4.5
VDP-GREY2-TSN484-DFA-VDBP,3,6,1.0000000000000004,1,1,3.0,random,1.0000000000000002,1.0,1.0,4.0
JOBURG,4,5,0.9999999999999999,1,1,2.0,random,1.0000000000000002,1.0,1.0,3.5
ZEH1,5,4,1.0000000000000002,1,1,1.0,random,1.0000000000000002,1.0,1.0,3.0
VDP1,6,3,3.0,0,1,1.0,random,1.3333333333333333,1.0,0.8333333333333334,2.6666666666666665
VDP-GREY2-TSN139-NWUFAR,7,2,2.0,0,1,1.0,random,1.4285714285714286,1.0,0.7142857142857143,2.4285714285714284
VDP1,1,8,1.0,1,1,5.0,core influence,1.0,1.0,1.0,5.0
VDP-GREY2-TSN139-NWUFAR,2,7,0.0,4,2,5.0,core influence,0.5,1.5,2.5,5.0
VDP-GREY2-TSN484-DFA-VDBP,3,6,0.0,0,6,1.0,core influence,0.3333333333333333,3.0,1.6666666666666667,3.6666666666666665
JOBURG,4,5,0.0,0,5,1.0,core influence,0.25,3.5,1.25,3.0
VDP-GREY2-TSN598-VUT-EMF,5,4,0.0,0,4,1.0,core influence,0.2,3.6,1.0,2.6
POTCH,6,3,0.0,0,3,1.0,core influence,0.16666666666666666,3.5,0.8333333333333334,2.3333333333333335
VDP-GREY1-TSN90-VUTMC,7,2,0.0,0,2,1.0,core influence,0.14285714285714285,3.2857142857142856,0.7142857142857143,2.142857142857143
VDP1,1,8,1.0,1,1,5.0,degree,1.0,1.0,1.0,5.0
VDP-GREY2-TSN139-NWUFAR,2,7,0.0,4,2,5.0,degree,0.5,1.5,2.5,5.0
JOBURG,3,6,0.0,0,6,1.0,degree,0.3333333333333333,3.0,1.6666666666666667,3.6666666666666665
VDP-GREY1-TSN90-VUTMC,4,5,0.0,0,5,1.0,degree,0.25,3.5,1.25,3.0
VDP-GREY2-TSN484-DFA-VDBP,5,4,0.0,0,4,1.0,degree,0.2,3.6,1.0,2.6
VDP-GREY2-TSN598-VUT-EMF,6,3,0.0,0,3,1.0,degree,0.16666666666666666,3.5,0.8333333333333334,2.3333333333333335
POTCH,7,2,0.0,0,2,1.0,degree,0.14285714285714285,3.2857142857142856,0.7142857142857143,2.142857142857143
VDP1,1,8,1.0,1,1,5.0,betweeness,1.0,1.0,1.0,5.0
VDP-GREY2-TSN139-NWUFAR,2,7,0.0,4,2,5.0,betweeness,0.5,1.5,2.5,5.0
JOBURG,3,6,0.0,0,6,1.0,betweeness,0.3333333333333333,3.0,1.6666666666666667,3.6666666666666665
VDP-GREY1-TSN90-VUTMC,4,5,0.0,0,5,1.0,betweeness,0.25,3.5,1.25,3.0
VDP-GREY2-TSN484-DFA-VDBP,5,4,0.0,0,4,1.0,betweeness,0.2,3.6,1.0,2.6
VDP-GREY2-TSN598-VUT-EMF,6,3,0.0,0,3,1.0,betweeness,0.16666666666666666,3.5,0.8333333333333334,2.3333333333333335
POTCH,7,2,0.0,0,2,1.0,betweeness,0.14285714285714285,3.2857142857142856,0.7142857142857143,2.142857142857143
VDP1,1,8,1.0,1,1,5.0,closeness,1.0,1.0,1.0,5.0
VDP-GREY2-TSN139-NWUFAR,2,7,0.0,4,2,5.0,closeness,0.5,1.5,2.5,5.0
JOBURG,3,6,0.0,0,6,1.0,closeness,0.3333333333333333,3.0,1.6666666666666667,3.6666666666666665
VDP-GREY1-TSN90-VUTMC,4,5,0.0,0,5,1.0,closeness,0.25,3.5,1.25,3.0
VDP-GREY2-TSN484-DFA-VDBP,5,4,0.0,0,4,1.0,closeness,0.2,3.6,1.0,2.6
VDP-GREY2-TSN598-VUT-EMF,6,3,0.0,0,3,1.0,closeness,0.16666666666666666,3.5,0.8333333333333334,2.3333333333333335
POTCH,7,2,0.0,0,2,1.0,closeness,0.14285714285714285,3.2857142857142856,0.7142857142857143,2.142857142857143
