node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
DUR3,1,27,0.2159093314955836,5,1,5.666666666666667,degree,0.2159093314955836,1.0,5.0,5.666666666666667
DUR2,2,26,0.0,2,6,2.3333333333333335,degree,0.1079546657477918,3.5,3.5,4.0
DUR1,3,25,0.0,2,9,1.3333333333333333,degree,0.07196977716519454,5.333333333333333,3.0,3.111111111111111
DBN-GREY1-TSN222-TIA-PWC,4,24,-5.696294837289027e-17,3,12,2.0,degree,0.05397733287389589,7.0,3.0,2.8333333333333335
DBN-GREY1-TSN366-UKZNE-PE,5,23,0.0,3,13,1.3333333333333333,degree,0.04318186629911671,8.2,3.0,2.5333333333333337
DBN-GREY1-TSN11-DUTS,6,22,-4.1028272119953315e-16,2,14,1.3333333333333333,degree,0.03598488858259719,9.166666666666666,2.8333333333333335,2.3333333333333335
DBN-GREY1-TSN375-SANBI,7,21,-4.1028272119953315e-16,2,14,1.3333333333333333,degree,0.030844190213654674,9.857142857142858,2.7142857142857144,2.1904761904761907
DBN-GREY1-TSN13-CAO,8,20,-4.1028272119953315e-16,2,13,2.0,degree,0.026988666436947792,10.25,2.625,2.1666666666666665
DBN-GREY1-TSN132-MRC,9,19,-4.1028272119953315e-16,2,12,2.0,degree,0.023989925721731323,10.444444444444445,2.5555555555555554,2.148148148148148
DBN-GREY1-TSN150-DUTB,10,18,-7.759729469692427e-17,1,13,2.0,degree,0.021590933149558185,10.7,2.4,2.1333333333333333
DBN-GREY1-TSN662-CAPRISA-KDH,11,17,-7.759729469692427e-17,1,12,2.0,degree,0.019628121045052887,10.818181818181818,2.272727272727273,2.121212121212121
DBN-GREY1-TSN151-DUTC,12,16,-7.759729469692427e-17,1,11,2.0,degree,0.01799244429129847,10.833333333333334,2.1666666666666665,2.111111111111111
DBN-GREY1-TSN176-UNISAM,13,15,0.0,0,12,2.0,degree,0.016608410115044745,10.923076923076923,2.0,2.1025641025641026
DBN-GREY1-TSN498-CAPRISA-ECRS,14,14,0.0,0,11,2.0,degree,0.015422095106827263,10.928571428571429,1.8571428571428572,2.0952380952380953
DBN-GREY1-TSN231-UKZNW-PE,15,13,0.0,1,11,1.5,degree,0.014393955433038778,10.933333333333334,1.8,2.0555555555555554
DBN-GREY1-TSN232-NMMS,16,12,0.0,1,10,1.5,degree,0.013494333218473854,10.875,1.75,2.0208333333333335
DBN-GREY1-TSN497-CAPRISA-DDMRI,17,11,0.0,0,11,1.0,degree,0.012700548911504805,10.882352941176471,1.6470588235294117,1.9607843137254903
DBN-GREY1-TSN97-CSIR,18,10,0.0,0,10,1.0,degree,0.011994962860865648,10.833333333333334,1.5555555555555556,1.9074074074074074
DUR-TSN19-MUT,19,9,0.0,0,9,1.0,degree,0.011363649026083245,10.736842105263158,1.4736842105263157,1.8596491228070178
MTZ,20,8,0.0,0,8,1.0,degree,0.010795466574779084,10.6,1.4,1.8166666666666669
PZB,21,7,0.0,0,7,1.0,degree,0.010281396737884842,10.428571428571429,1.3333333333333333,1.777777777777778
CAPE2,22,6,0.0,0,6,1.0,degree,0.00981406052252644,10.227272727272727,1.2727272727272727,1.7424242424242424
DBN-TSN935-DHA-UMGENI,23,5,0.0,0,5,1.0,degree,0.009387362238938334,10.0,1.2173913043478262,1.710144927536232
ELS,24,4,0.0,0,4,1.0,degree,0.008996222145649236,9.75,1.1666666666666667,1.6805555555555556
ISANDO,25,3,0.0,0,3,1.0,degree,0.008636373259823266,9.48,1.12,1.6533333333333333
PHU,26,2,0.0,0,2,1.0,degree,0.008304205057522373,9.192307692307692,1.0769230769230769,1.6282051282051282
