node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
JNB2,1,32,0.22359960790215574,8,1,5.5,betweeness,0.22359960790215574,1.0,8.0,5.5
ISD1,2,31,0.0,6,4,3.25,betweeness,0.11179980395107787,2.5,7.0,4.375
JNB3,3,30,-2.1616012044948358e-16,0,11,3.0,betweeness,0.07453320263405185,5.333333333333333,4.666666666666667,3.9166666666666665
JNB1,4,29,-6.781623307627693e-17,0,13,1.0,betweeness,0.05589990197553887,7.25,3.5,3.1875
JNB-GREY2-TSN42-UJBU,5,28,0.0,0,15,1.5,betweeness,0.044719921580431095,8.8,2.8,2.85
JNB-GREY1-TSN690-NHLS-BRAAM,6,27,0.0,0,16,1.6666666666666667,betweeness,0.03726660131702591,10.0,2.3333333333333335,2.6527777777777777
JNB-TSN44-UJ-DF-PE,7,26,-5.504474883857112e-17,1,16,1.3333333333333333,betweeness,0.031942801128879345,10.857142857142858,2.142857142857143,2.4642857142857144
JNB5-TSN249,8,25,0.0,1,17,1.3333333333333333,betweeness,0.027949950987769426,11.625,2.0,2.3229166666666665
JNB-TSN251-GIBS,9,24,0.0,2,17,1.3333333333333333,betweeness,0.02484440087801727,12.222222222222221,2.0,2.2129629629629632
JNB-GREY2-TSN295-CSIR-CTF,10,23,0.0,1,17,1.0,betweeness,0.02235996079021554,12.7,1.9,2.091666666666667
JNB-GREY2-TSN659-WITS-CLMDC,11,22,0.0,0,17,1.0,betweeness,0.02032723708201413,13.090909090909092,1.7272727272727273,1.9924242424242424
JNB-GREY2-TSN42-UJBU-2,12,21,0.0,0,17,1.0,betweeness,0.01863330065851295,13.416666666666666,1.5833333333333333,1.9097222222222223
JNB-GREY1-TSN112-WITSM,13,20,0.0,0,16,1.0,betweeness,0.01719996983862734,13.615384615384615,1.4615384615384615,1.8397435897435899
SDT-TSN535-UCT-GSB,14,19,0.0,0,16,1.0,betweeness,0.015971400564439672,13.785714285714286,1.3571428571428572,1.7797619047619049
JNB-GREY1-TSN110-WITSE,15,18,0.0,0,16,1.0,betweeness,0.014906640526810361,13.933333333333334,1.2666666666666666,1.7277777777777779
JNB-TSN76-UNISA-FLORIDA-PE,16,17,0.0,0,15,1.0,betweeness,0.013974975493884713,14.0,1.1875,1.6822916666666667
JNB-TSN949-GIBS-NORTH,17,16,0.0,0,15,1.0,betweeness,0.013152918111891496,14.058823529411764,1.1176470588235294,1.6421568627450982
BLOEM2,18,15,0.0,0,14,1.0,betweeness,0.012422200439008635,14.055555555555555,1.0555555555555556,1.6064814814814816
BLOEM3,19,14,0.0,0,13,1.0,betweeness,0.011768400415902916,14.0,1.0,1.574561403508772
CPT1,20,13,0.0,0,12,1.0,betweeness,0.01117998039510777,13.9,0.95,1.5458333333333334
CAPE,21,12,0.0,0,11,1.0,betweeness,0.010647600376293115,13.761904761904763,0.9047619047619048,1.51984126984127
DURBS,22,11,0.0,0,10,1.0,betweeness,0.010163618541007065,13.590909090909092,0.8636363636363636,1.496212121212121
JNB-NHLS-TSN677-SAND,23,10,0.0,0,9,1.0,betweeness,0.00972172208270241,13.391304347826088,0.8260869565217391,1.4746376811594202
JNB-TSN199-UNISA-SBL-PE,24,9,0.0,0,8,1.0,betweeness,0.009316650329256475,13.166666666666666,0.7916666666666666,1.454861111111111
MTZ,25,8,0.0,0,7,1.0,betweeness,0.008943984316086217,12.92,0.76,1.4366666666666665
UNISA,26,7,0.0,0,6,1.0,betweeness,0.00859998491931367,12.653846153846153,0.7307692307692307,1.4198717948717947
THY-TSN87-UNIVEN-MC-PE,27,6,0.0,0,5,1.0,betweeness,0.008281466959339089,12.37037037037037,0.7037037037037037,1.404320987654321
JNB-GREY-TSN284-WITS-HJH,28,5,0.0,0,4,1.0,betweeness,0.007985700282219836,12.071428571428571,0.6785714285714286,1.3898809523809523
JNB-GREY-TSN285-WITS-RMH,29,4,0.0,0,4,1.0,betweeness,0.007710331306970877,11.793103448275861,0.6551724137931034,1.3764367816091954
JNB-GREY2-TSN171-UJSO,30,3,0.0,0,3,1.0,betweeness,0.007453320263405181,11.5,0.6333333333333333,1.3638888888888887
JNB-GREY2-TSN99-CSMI,31,2,0.0,0,2,1.0,betweeness,0.007212890577488884,11.193548387096774,0.6129032258064516,1.3521505376344085
