node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
1,1,11,0.77546617721373,4,1,2.5,betweeness,0.77546617721373,1.0,4.0,2.5
6,2,10,0.0,0,6,2.0,betweeness,0.387733088606865,3.5,2.0,2.25
8,3,9,0.0,0,7,1.0,betweeness,0.25848872573791,4.666666666666667,1.3333333333333333,1.8333333333333333
5,4,8,0.0,0,7,1.0,betweeness,0.1938665443034325,5.25,1.0,1.625
7,5,7,0.0,0,7,1.0,betweeness,0.155093235442746,5.6,0.8,1.5
2,6,6,0.0,0,6,1.0,betweeness,0.129244362868955,5.666666666666667,0.6666666666666666,1.4166666666666667
3,7,5,0.0,0,5,1.0,betweeness,0.1107808824591043,5.571428571428571,0.5714285714285714,1.3571428571428572
4,8,4,0.0,0,4,1.0,betweeness,0.09693327215171625,5.375,0.5,1.3125
9,9,3,0.0,0,3,1.0,betweeness,0.08616290857930334,5.111111111111111,0.4444444444444444,1.2777777777777777
10,10,2,0.0,0,2,1.0,betweeness,0.077546617721373,4.8,0.4,1.25
