node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
1,1,27,0.2159093314955836,5,1,5.666666666666667,closeness,0.2159093314955836,1.0,5.0,5.666666666666667
15,2,26,0.0,2,6,2.3333333333333335,closeness,0.1079546657477918,3.5,3.5,4.0
8,3,25,0.0,2,9,2.0,closeness,0.07196977716519454,5.333333333333333,3.0,3.3333333333333335
22,4,24,-5.696294837289027e-17,3,12,2.0,closeness,0.05397733287389589,7.0,3.0,3.0
21,5,23,-4.174255692045674e-16,3,11,2.0,closeness,0.04318186629911663,7.8,3.0,2.8
23,6,22,-5.696294837289027e-17,3,10,2.0,closeness,0.03598488858259718,8.166666666666666,3.0,2.6666666666666665
4,7,21,-4.174255692045674e-16,3,9,2.0,closeness,0.030844190213654667,8.285714285714286,3.0,2.5714285714285716
11,8,20,0.0,3,10,1.3333333333333333,closeness,0.026988666436947834,8.5,3.0,2.4166666666666665
13,9,19,0.0,2,10,1.3333333333333333,closeness,0.023989925721731406,8.666666666666666,2.888888888888889,2.2962962962962963
16,10,18,0.0,1,10,1.0,closeness,0.021590933149558268,8.8,2.7,2.166666666666667
19,11,17,0.0,0,10,2.0,closeness,0.01962812104505297,8.909090909090908,2.4545454545454546,2.151515151515152
2,12,16,0.0,0,10,2.0,closeness,0.017992444291298555,9.0,2.25,2.138888888888889
5,13,15,0.0,0,9,1.0,closeness,0.01660841011504482,9.0,2.076923076923077,2.0512820512820515
24,14,14,0.0,0,9,1.0,closeness,0.015422095106827334,9.0,1.9285714285714286,1.9761904761904763
25,15,13,0.0,0,8,1.0,closeness,0.014393955433038844,8.933333333333334,1.8,1.9111111111111112
26,16,12,0.0,0,7,1.0,closeness,0.013494333218473917,8.8125,1.6875,1.8541666666666667
27,17,11,0.0,0,6,2.0,closeness,0.012700548911504864,8.647058823529411,1.588235294117647,1.8627450980392157
7,18,10,0.0,0,5,1.0,closeness,0.011994962860865703,8.444444444444445,1.5,1.8148148148148147
6,19,9,0.0,0,5,2.0,closeness,0.011363649026083299,8.263157894736842,1.4210526315789473,1.8245614035087718
20,20,8,0.0,0,4,2.0,closeness,0.010795466574779134,8.05,1.35,1.8333333333333333
9,21,7,0.0,0,3,2.0,closeness,0.010281396737884889,7.809523809523809,1.2857142857142858,1.8412698412698412
12,22,6,0.0,0,3,2.0,closeness,0.009814060522526485,7.590909090909091,1.2272727272727273,1.8484848484848484
10,23,5,0.0,1,3,2.0,closeness,0.009387362238938378,7.391304347826087,1.2173913043478262,1.8550724637681157
17,24,4,3.960290235698816e-17,1,2,2.0,closeness,0.008996222145649279,7.166666666666667,1.2083333333333333,1.861111111111111
3,25,3,0.0,0,2,1.0,closeness,0.008636373259823308,6.96,1.16,1.8266666666666667
14,26,2,2.0,0,1,1.0,closeness,0.08522728198059934,6.730769230769231,1.1153846153846154,1.7948717948717947
